Orthogroup	Duplications (all)	Duplications (50% support)
OG0000736	0	0
OG0000737	0	0
OG0000738	0	0
OG0000739	1	1
OG0000740	0	0
OG0000741	0	0
OG0000742	0	0
OG0000743	0	0
OG0000744	0	0
OG0000745	0	0
OG0000746	0	0
OG0000747	0	0
OG0000748	0	0
OG0000749	0	0
OG0000750	0	0
OG0000751	0	0
OG0000752	0	0
OG0000753	0	0
OG0000754	0	0
OG0000755	0	0
OG0000756	0	0
OG0000757	0	0
OG0000758	0	0
OG0000759	0	0
OG0000760	0	0
OG0000761	0	0
OG0000762	0	0
OG0000763	0	0
OG0000764	0	0
OG0000765	0	0
OG0000766	0	0
OG0000767	0	0
OG0000768	0	0
OG0000769	0	0
OG0000770	0	0
OG0000771	0	0
OG0000772	0	0
OG0000773	0	0
OG0000774	0	0
OG0000775	0	0
OG0000776	0	0
OG0000777	0	0
OG0000778	0	0
OG0000779	0	0
OG0000780	0	0
OG0000781	0	0
OG0000782	0	0
OG0000783	0	0
OG0000784	0	0
OG0000785	0	0
OG0000786	1	1
OG0000787	0	0
OG0000788	0	0
OG0000789	0	0
OG0000790	0	0
OG0000791	0	0
OG0000792	0	0
OG0000793	0	0
OG0000794	0	0
OG0000795	0	0
OG0000796	0	0
OG0000797	0	0
OG0000798	0	0
OG0000799	0	0
OG0000800	1	0
OG0000801	1	1
OG0000802	0	0
OG0000803	0	0
OG0000804	0	0
OG0000805	0	0
OG0000806	1	1
OG0000807	0	0
OG0000808	0	0
OG0000809	0	0
OG0000810	0	0
OG0000811	1	1
OG0000812	2	2
OG0000813	1	1
OG0000814	1	1
OG0000815	1	1
OG0000816	2	2
OG0000817	3	3
OG0000818	4	4
OG0000819	1	0
OG0000820	1	1
OG0000821	2	2
OG0000822	3	3
OG0000823	4	4
OG0000824	2	2
OG0000825	2	2
OG0000826	3	3
OG0000827	3	3
OG0000828	0	0
OG0000829	2	2
OG0000830	1	1
OG0000831	0	0
OG0000832	1	1
OG0000833	0	0
OG0000834	0	0
OG0000835	0	0
OG0000836	0	0
OG0000837	1	1
OG0000838	1	1
OG0000839	1	1
OG0000840	0	0
OG0000841	0	0
OG0000842	1	1
OG0000843	2	2
OG0000844	0	0
OG0000845	1	1
OG0000846	3	3
OG0000847	3	3
OG0000848	0	0
OG0000849	0	0
OG0000850	0	0
OG0000851	0	0
OG0000852	1	1
OG0000853	1	1
OG0000854	0	0
OG0000855	0	0
OG0000856	2	2
OG0000857	0	0
OG0000858	1	1
OG0000859	0	0
OG0000860	1	1
OG0000861	1	1
OG0000862	1	1
OG0000863	1	1
OG0000864	0	0
OG0000865	0	0
OG0000866	0	0
OG0000867	0	0
OG0000868	0	0
OG0000869	0	0
OG0000870	0	0
OG0000871	0	0
OG0000872	1	1
OG0000873	1	1
OG0000874	0	0
OG0000875	0	0
OG0000876	0	0
OG0000877	1	1
OG0000878	1	1
OG0000879	0	0
OG0000880	2	2
OG0000881	2	2
OG0000882	0	0
OG0000883	1	1
OG0000884	0	0
OG0000885	0	0
OG0000886	2	2
OG0000887	0	0
OG0000888	0	0
OG0000889	0	0
OG0000890	0	0
OG0000891	0	0
OG0000892	0	0
OG0000893	1	1
OG0000894	0	0
OG0000895	2	2
OG0000896	0	0
OG0000897	1	1
OG0000898	0	0
OG0000899	1	1
OG0000900	1	1
OG0000901	1	1
OG0000902	0	0
OG0000903	0	0
OG0000904	1	1
OG0000905	2	2
OG0000906	1	1
OG0000907	0	0
OG0000908	0	0
OG0000909	1	1
OG0000910	1	1
OG0000911	1	1
OG0000912	0	0
OG0000913	0	0
OG0000914	1	1
OG0000915	0	0
OG0000916	0	0
OG0000917	0	0
OG0000918	1	1
OG0000919	0	0
OG0000920	0	0
OG0000921	0	0
OG0000922	1	1
OG0000923	1	1
OG0000924	2	2
OG0000925	0	0
OG0000926	0	0
OG0000927	0	0
OG0000928	0	0
OG0000929	0	0
OG0000930	0	0
OG0000931	0	0
OG0000932	1	1
OG0000933	1	1
OG0000934	2	2
OG0000935	0	0
OG0000936	0	0
OG0000937	0	0
OG0000938	1	1
OG0000939	1	1
OG0000940	1	1
OG0000941	0	0
OG0000942	0	0
OG0000943	1	1
OG0000944	0	0
OG0000945	0	0
OG0000946	0	0
OG0000947	0	0
OG0000948	1	1
OG0000949	0	0
OG0000950	1	1
OG0000951	1	1
OG0000952	1	1
OG0000953	0	0
OG0000954	1	1
OG0000955	1	1
OG0000956	1	1
OG0000957	0	0
OG0000958	0	0
OG0000959	0	0
OG0000960	0	0
OG0000961	0	0
OG0000962	1	1
OG0000963	0	0
OG0000964	0	0
OG0000965	0	0
OG0000966	1	1
OG0000967	0	0
OG0000968	0	0
OG0000969	0	0
OG0000970	0	0
OG0000971	0	0
OG0000972	0	0
OG0000973	2	2
OG0000974	1	1
OG0000975	1	1
OG0000976	0	0
OG0000977	1	1
OG0000978	0	0
OG0000979	1	1
OG0000980	1	1
OG0000981	1	1
OG0000982	1	1
OG0000983	0	0
OG0000984	0	0
OG0000985	1	1
OG0000986	1	1
OG0000987	0	0
OG0000988	1	1
OG0000989	1	1
OG0000990	1	1
OG0000991	1	1
OG0000992	1	1
OG0000993	1	0
OG0000994	3	3
OG0000995	1	1
OG0000996	1	1
OG0000997	1	1
OG0000998	1	1
OG0000999	1	1
OG0001000	1	1
OG0001001	3	3
OG0001002	1	1
OG0001003	1	1
OG0001004	1	1
OG0001005	1	1
OG0001006	2	2
OG0001007	2	2
OG0001008	1	1
OG0001009	1	1
OG0001010	1	1
OG0001011	1	1
OG0001012	1	1
OG0001013	2	2
OG0001014	2	2
OG0001015	2	2
OG0001016	2	2
OG0001017	3	3
